bus_id,placa,linha,position,data,speed,sentido,trajeto,hodometro,direcao
B40,,14,"-23.00833, -43.44344",1690405602000,8.3,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],851.7,73
B41,,14,"-22.996452, -43.593443",1690405595000,0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1302,318
901001,RJD7J89,22,"-22.999949, -43.361225",1690405608000,10.4,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],17448.7,255
B47,,14,"-22.948407, -43.653235",1690405604000,57.3,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1325.5,139
B048,,14,"-23.000786, -43.576911",1690405451000,0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1347.1,285
B49,,14,"-22.96819, -43.637921",1690405614000,58.1,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1285.3,107
B50,,14,"-23.010664, -43.452785",1690405598000,10.9,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1119,255
B52,,14,"-23.014489, -43.467563",1690405600000,18.2,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1170.8,255
B54,,14,"-23.008824, -43.445495",1690405599000,8.9,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],1344.4,254
B55,,14,"-23.004186, -43.563388",1690405586000,58.4,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1280.5,105
B53,,14,"-22.916723, -43.632528",1690405596000,8.9,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1337.9,273
B51,,14,"-23.010056, -43.449082",1690405612000,54,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],1372.2,75
901050,,40,"-22.877389, -43.337089",1690405601000,0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],24408.8,306
901077,,52,"-22.964629, -43.391665",1690400868000,0,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],26545.2, 
903045,,17,"-22.914166, -43.602379",1690405607000,33.5,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],25890.3,267
902119,,35,"-22.994211, -43.365923",1690405601000,33.4,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],7922.6,175
901058,,22,"-22.964913, -43.391397",1690401669000,0.1,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],44291.7,67
902105,,40,"-22.899893, -43.353878",1690405597000,42.7,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],10398,215
901071,,53,"-22.933486, -43.395572",1690405537000,58.4,volta,53 - SENTIDO SULACAP (EXPRESSO) [VOLTA],43589.9,10
903027,,50,"-22.97343, -43.369228",1690405600000,54.8,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],49834.8,91
901066,,22,"-23.000651, -43.365583",1690404249000,25.3,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],50158,90
903026,,50,"-23.006437, -43.313327",1690405614000,4.6,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],49181,325
903029,,50,"-22.970481, -43.400178",1690405600000,1.6,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],33730.1,42
902116,,35,"-22.878345, -43.336325",1690405613000,0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],11296.4,1
902115,,35,"-22.944571, -43.372289",1690405595000,55.2,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],14987.8,167
903028,,50,"-22.876944, -43.330403",1690405602000,0,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],31655.6,177
901061,,51,"-22.858379, -43.393046",1690405600000,40.3,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],43497.3,244
